ShortWindow,LongWindow,FinalCapital,MaxDrawdown,SharpeRatio
 5, 20,2784097.73,0.257744,1.187098
 5, 30,2135284.80,0.264610,0.968067
 5, 40,2139267.60,0.194796,1.010327
 5, 50,2371641.90,0.213176,1.100013
 5, 60,2522677.21,0.232298,1.166826
 5, 70,2495005.74,0.273972,1.117050
 5, 80,2484443.38,0.248818,1.152881
 5, 90,2460798.74,0.244310,1.140304
 5, 100,2452051.43,0.246503,1.145736
 5, 110,2475527.11,0.249570,1.173386
 5, 120,2472833.08,0.256668,1.184992
 5, 130,2413381.02,0.212006,1.191949
 5, 140,2443567.87,0.218205,1.210973
 5, 150,2390306.85,0.216627,1.214180
 5, 160,2313644.29,0.211359,1.209756
 5, 170,2168958.21,0.193109,1.135337
 5, 180,2173642.67,0.196317,1.183930
 5, 190,2221589.90,0.187789,1.212708
 5, 200,2186042.45,0.189528,1.183788
 10, 20,2589821.41,0.269419,1.093288
 10, 30,1916781.62,0.276372,0.832312
 10, 40,2055655.34,0.254511,0.966626
 10, 50,2109216.95,0.270659,0.987214
 10, 60,2166242.42,0.291254,0.995253
 10, 70,2222792.41,0.288059,1.008473
 10, 80,2107821.07,0.284193,0.970809
 10, 90,2253500.02,0.286202,1.039121
 10, 100,2693950.70,0.256473,1.234726
 10, 110,2574206.79,0.232491,1.210356
 10, 120,2507909.24,0.250789,1.190112
 10, 130,2407065.19,0.225989,1.191649
 10, 140,2403753.95,0.218065,1.218177
 10, 150,2417398.51,0.198453,1.232575
 10, 160,2322644.47,0.199168,1.218943
 10, 170,2112957.97,0.196327,1.106392
 10, 180,2270772.18,0.190612,1.233797
 10, 190,2279148.94,0.189651,1.240072
 10, 200,2193011.21,0.193475,1.203108
 15, 20,2007111.31,0.278456,0.866708
 15, 30,1794146.25,0.266740,0.778022
 15, 40,2014429.22,0.224170,0.965513
 15, 50,2061921.50,0.275021,0.956523
 15, 60,2200088.82,0.268275,1.022225
 15, 70,2284965.82,0.317342,1.030291
 15, 80,2284976.20,0.319250,1.036440
 15, 90,2502547.02,0.291875,1.148837
 15, 100,2850307.36,0.259453,1.271014
 15, 110,2703839.76,0.232154,1.251542
 15, 120,2631184.92,0.228977,1.236019
 15, 130,2484902.99,0.218539,1.222738
 15, 140,2569935.10,0.193664,1.281817
 15, 150,2325863.47,0.210141,1.192358
 15, 160,2331323.44,0.192165,1.224522
 15, 170,2052771.71,0.195508,1.084626
 15, 180,2249065.52,0.192316,1.241469
 15, 190,2291039.12,0.202360,1.261411
 15, 200,2213533.80,0.186247,1.213450
 20, 30,1615487.17,0.249365,0.672099
 20, 40,1767859.94,0.265168,0.792290
 20, 50,2058088.20,0.279688,0.948259
 20, 60,2247850.15,0.263850,1.020742
 20, 70,2391909.35,0.326145,1.081629
 20, 80,2641180.88,0.296316,1.171792
 20, 90,2591489.21,0.294183,1.160251
 20, 100,2897830.94,0.251949,1.280988
 20, 110,2885257.53,0.232314,1.280341
 20, 120,2959008.43,0.211371,1.323938
 20, 130,2707318.06,0.200884,1.293097
 20, 140,2773369.88,0.203650,1.339396
 20, 150,2511631.45,0.209749,1.257127
 20, 160,2502486.72,0.194746,1.275929
 20, 170,2125719.52,0.183445,1.144622
 20, 180,2263753.40,0.200462,1.255666
 20, 190,2270563.97,0.199742,1.252937
 20, 200,2213684.05,0.187939,1.235420
 25, 30,1749295.48,0.225498,0.759677
 25, 40,1904555.34,0.237113,0.867316
 25, 50,2238450.88,0.263124,0.999253
 25, 60,2334438.74,0.301577,1.049117
 25, 70,2577222.74,0.321971,1.147526
 25, 80,2436212.57,0.304751,1.094061
 25, 90,2639111.86,0.292574,1.189467
 25, 100,2744234.87,0.270252,1.229642
 25, 110,2708729.10,0.255906,1.234797
 25, 120,2912773.36,0.217709,1.310979
 25, 130,2827828.96,0.202579,1.342659
 25, 140,2722783.72,0.200770,1.323623
 25, 150,2578885.25,0.211562,1.282581
 25, 160,2491928.85,0.201200,1.287869
 25, 170,2321168.31,0.190048,1.216339
 25, 180,2465377.62,0.197718,1.334320
 25, 190,2346216.76,0.195650,1.302250
 25, 200,2180163.45,0.199961,1.206857
 30, 40,2016149.51,0.257077,0.900292
 30, 50,2252388.13,0.300403,0.999549
 30, 60,2385408.41,0.315120,1.078347
 30, 70,2483476.50,0.326676,1.123442
 30, 80,2486729.85,0.317044,1.118174
 30, 90,2594263.99,0.298794,1.174628
 30, 100,2972260.54,0.276403,1.301995
 30, 110,2977778.04,0.232474,1.328966
 30, 120,2957372.10,0.227131,1.329624
 30, 130,2783257.16,0.200316,1.319458
 30, 140,2622407.60,0.207629,1.293716
 30, 150,2542935.76,0.214829,1.285334
 30, 160,2564074.76,0.204835,1.295711
 30, 170,2353678.23,0.194123,1.221598
 30, 180,2715522.02,0.191462,1.414192
 30, 190,2452006.44,0.194671,1.333367
 30, 200,2326812.33,0.183512,1.280002
 35, 40,1974399.86,0.255506,0.869913
 35, 50,2398402.99,0.295204,1.063043
 35, 60,2514702.82,0.335399,1.121820
 35, 70,2708455.41,0.332995,1.200249
 35, 80,2495438.75,0.329427,1.106890
 35, 90,2673640.00,0.299426,1.195619
 35, 100,2979832.23,0.276788,1.324499
 35, 110,2918821.76,0.245239,1.312454
 35, 120,2937798.81,0.238109,1.325943
 35, 130,2771559.99,0.198107,1.318355
 35, 140,2819838.57,0.202756,1.350814
 35, 150,2692691.66,0.213360,1.322910
 35, 160,2669721.55,0.204248,1.336561
 35, 170,2449012.23,0.196509,1.249598
 35, 180,2776838.48,0.192410,1.427661
 35, 190,2384697.44,0.205263,1.300325
 35, 200,2375152.71,0.185537,1.289491
 40, 50,2381722.69,0.303925,1.056811
 40, 60,2719376.40,0.331340,1.206450
 40, 70,2695097.77,0.309664,1.196211
 40, 80,2659709.18,0.288298,1.181912
 40, 90,2811319.02,0.274266,1.261939
 40, 100,3050862.98,0.266391,1.342592
 40, 110,2945995.22,0.244527,1.315570
 40, 120,3041039.03,0.213391,1.364766
 40, 130,2905922.98,0.201707,1.337866
 40, 140,2961664.24,0.203748,1.388366
 40, 150,2836939.45,0.197633,1.370682
 40, 160,2735779.18,0.195931,1.361764
 40, 170,2529010.95,0.195612,1.269275
 40, 180,2655730.97,0.191767,1.383760
 40, 190,2348807.59,0.206769,1.276248
 40, 200,2373266.98,0.173912,1.299002
 45, 50,2699319.16,0.266724,1.188552
 45, 60,2853964.30,0.324888,1.230768
 45, 70,2731449.24,0.308163,1.191799
 45, 80,3010569.12,0.294199,1.301647
 45, 90,3018636.41,0.263057,1.334295
 45, 100,3443299.53,0.227301,1.456522
 45, 110,3116676.30,0.238554,1.370180
 45, 120,3221461.38,0.214372,1.401561
 45, 130,3068830.37,0.201911,1.392807
 45, 140,2980942.10,0.201052,1.385996
 45, 150,2939736.27,0.200380,1.396036
 45, 160,2830555.91,0.194681,1.383124
 45, 170,2451092.03,0.189678,1.246058
 45, 180,2710551.18,0.189142,1.397513
 45, 190,2516043.96,0.181956,1.339951
 45, 200,2363615.10,0.175036,1.286368
 50, 60,3258040.33,0.300000,1.356380
 50, 70,3009117.63,0.318362,1.293919
 50, 80,2844125.62,0.280608,1.266803
 50, 90,3260350.72,0.245828,1.390653
 50, 100,3315337.25,0.229316,1.433983
 50, 110,3479474.02,0.221360,1.444066
 50, 120,3368524.30,0.211064,1.432222
 50, 130,2956268.22,0.198644,1.357902
 50, 140,3021029.19,0.200871,1.401910
 50, 150,2900052.78,0.195752,1.388750
 50, 160,2789234.22,0.194273,1.367812
 50, 170,2619668.47,0.188161,1.326886
 50, 180,2725378.18,0.184827,1.408511
 50, 190,2505901.87,0.184565,1.326517
 50, 200,2348927.45,0.174146,1.286117
