RSIPeriod,BollingerWindow,MomentumPeriod,FinalCapital,MaxDrawdown,SharpeRatio
10,10,10,1000000.00,0.000000,0.000000
10,10,15,2099534.12,0.687843,0.594673
10,10,20,3553749.20,0.442364,0.867647
10,10,25,2128571.80,0.538109,0.603185
10,10,30,1695797.17,0.368616,0.518705
10,15,10,1000000.00,0.000000,0.000000
10,15,15,1285446.34,0.201270,0.434522
10,15,20,1373458.18,0.365702,0.371580
10,15,25,2019321.85,0.538101,0.581997
10,15,30,2812338.43,0.602486,0.742903
10,20,10,1000000.00,0.000000,0.000000
10,20,15,1000000.00,0.000000,0.000000
10,20,20,1817299.59,0.310017,0.631943
10,20,25,1104147.24,0.390546,0.218503
10,20,30,1648503.29,0.368769,0.514653
10,25,10,1000000.00,0.000000,0.000000
10,25,15,1000000.00,0.000000,0.000000
10,25,20,1907258.38,0.410549,0.591412
10,25,25,673044.98,0.637384,-0.068124
10,25,30,1273194.95,0.390536,0.317562
10,30,10,1000000.00,0.000000,0.000000
10,30,15,1000000.00,0.000000,0.000000
10,30,20,1907258.38,0.410549,0.592638
10,30,25,1233882.66,0.110771,0.487106
10,30,30,1673409.67,0.749653,0.467516
10,35,10,1000000.00,0.000000,0.000000
10,35,15,3039526.61,0.295438,0.989181
10,35,20,1907258.38,0.410549,0.593871
10,35,25,1813545.45,0.740241,0.523083
10,35,30,1673409.67,0.749653,0.468488
10,40,10,1000000.00,0.000000,0.000000
10,40,15,3039526.61,0.295438,0.991253
10,40,20,1290408.92,0.201280,0.445689
10,40,25,1813545.45,0.740241,0.524176
10,40,30,1673409.67,0.749653,0.469466
10,45,10,1000000.00,0.000000,0.000000
10,45,15,3039526.61,0.295438,0.993338
10,45,20,1000000.00,0.000000,0.000000
10,45,25,1813545.45,0.740241,0.525275
10,45,30,1673409.67,0.749653,0.470451
10,50,10,1000000.00,0.000000,0.000000
10,50,15,3039526.61,0.295438,0.995436
10,50,20,1000000.00,0.000000,0.000000
10,50,25,1813545.45,0.740241,0.526381
10,50,30,1673409.67,0.749653,0.471441
15,10,10,1000000.00,0.000000,0.000000
15,10,15,1000000.00,0.000000,0.000000
15,10,20,1763500.04,0.310024,0.604876
15,10,25,1193229.67,0.588700,0.272953
15,10,30,4953774.80,0.672671,0.947481
15,15,10,1000000.00,0.000000,0.000000
15,15,15,1000000.00,0.000000,0.000000
15,15,20,1763500.04,0.310024,0.604876
15,15,25,9876461.47,0.672671,1.216283
15,15,30,4327237.53,0.672670,0.887614
15,20,10,1000000.00,0.000000,0.000000
15,20,15,1000000.00,0.000000,0.000000
15,20,20,1817293.87,0.309999,0.631955
15,20,25,10653803.34,0.672671,1.242607
15,20,30,4598183.49,0.672672,0.889048
15,25,10,1000000.00,0.000000,0.000000
15,25,15,1000000.00,0.000000,0.000000
15,25,20,1113465.32,0.182372,0.250700
15,25,25,1633536.55,0.382527,0.541568
15,25,30,11878114.01,0.672673,1.229865
15,30,10,1000000.00,0.000000,0.000000
15,30,15,1000000.00,0.000000,0.000000
15,30,20,1000000.00,0.000000,0.000000
15,30,25,1501384.12,0.177141,0.580411
15,30,30,1452972.74,0.453939,0.438713
15,35,10,1000000.00,0.000000,0.000000
15,35,15,1000000.00,0.000000,0.000000
15,35,20,1000000.00,0.000000,0.000000
15,35,25,1501384.12,0.177141,0.581619
15,35,30,1000000.00,0.000000,0.000000
15,40,10,1000000.00,0.000000,0.000000
15,40,15,1000000.00,0.000000,0.000000
15,40,20,1000000.00,0.000000,0.000000
15,40,25,1233882.66,0.110771,0.489138
15,40,30,1000000.00,0.000000,0.000000
15,45,10,1000000.00,0.000000,0.000000
15,45,15,1000000.00,0.000000,0.000000
15,45,20,1000000.00,0.000000,0.000000
15,45,25,1243893.29,0.110771,0.496339
15,45,30,1000000.00,0.000000,0.000000
15,50,10,1000000.00,0.000000,0.000000
15,50,15,1000000.00,0.000000,0.000000
15,50,20,1000000.00,0.000000,0.000000
15,50,25,1243893.29,0.110771,0.497385
15,50,30,1000000.00,0.000000,0.000000
20,10,10,1211086.86,0.023044,0.815925
20,10,15,528066.83,0.721391,-0.180954
20,10,20,1000000.00,0.000000,0.000000
20,10,25,1000000.00,0.000000,0.000000
20,10,30,2341772.10,0.415177,0.799074
20,15,10,1000000.00,0.000000,0.000000
20,15,15,1000000.00,0.000000,0.000000
20,15,20,1000000.00,0.000000,0.000000
20,15,25,1000000.00,0.000000,0.000000
20,15,30,3047436.32,0.415177,0.974360
20,20,10,1000000.00,0.000000,0.000000
20,20,15,1000000.00,0.000000,0.000000
20,20,20,1000000.00,0.000000,0.000000
20,20,25,1000000.00,0.000000,0.000000
20,20,30,3047436.32,0.415177,0.974360
20,25,10,1000000.00,0.000000,0.000000
20,25,15,1000000.00,0.000000,0.000000
20,25,20,1000000.00,0.000000,0.000000
20,25,25,1000000.00,0.000000,0.000000
20,25,30,3047436.32,0.415177,0.976375
20,30,10,1000000.00,0.000000,0.000000
20,30,15,1000000.00,0.000000,0.000000
20,30,20,1000000.00,0.000000,0.000000
20,30,25,1000000.00,0.000000,0.000000
20,30,30,1673409.67,0.749653,0.467516
20,35,10,1000000.00,0.000000,0.000000
20,35,15,1000000.00,0.000000,0.000000
20,35,20,1000000.00,0.000000,0.000000
20,35,25,1000000.00,0.000000,0.000000
20,35,30,1673409.67,0.749653,0.468488
20,40,10,1000000.00,0.000000,0.000000
20,40,15,1000000.00,0.000000,0.000000
20,40,20,1000000.00,0.000000,0.000000
20,40,25,1000000.00,0.000000,0.000000
20,40,30,1673409.67,0.749653,0.469466
20,45,10,1000000.00,0.000000,0.000000
20,45,15,1000000.00,0.000000,0.000000
20,45,20,1000000.00,0.000000,0.000000
20,45,25,1000000.00,0.000000,0.000000
20,45,30,1673409.67,0.749653,0.470451
20,50,10,1000000.00,0.000000,0.000000
20,50,15,1000000.00,0.000000,0.000000
20,50,20,1000000.00,0.000000,0.000000
20,50,25,1000000.00,0.000000,0.000000
20,50,30,1673409.67,0.749653,0.471441
25,10,10,1000000.00,0.000000,0.000000
25,10,15,1000000.00,0.000000,0.000000
25,10,20,485484.73,0.661542,-0.279031
25,10,25,1000000.00,0.000000,0.000000
25,10,30,1000000.00,0.000000,0.000000
25,15,10,1000000.00,0.000000,0.000000
25,15,15,1000000.00,0.000000,0.000000
25,15,20,485484.73,0.661542,-0.279031
25,15,25,1000000.00,0.000000,0.000000
25,15,30,1000000.00,0.000000,0.000000
25,20,10,1000000.00,0.000000,0.000000
25,20,15,1000000.00,0.000000,0.000000
25,20,20,1000000.00,0.000000,0.000000
25,20,25,1000000.00,0.000000,0.000000
25,20,30,1000000.00,0.000000,0.000000
25,25,10,1000000.00,0.000000,0.000000
25,25,15,1000000.00,0.000000,0.000000
25,25,20,1000000.00,0.000000,0.000000
25,25,25,1000000.00,0.000000,0.000000
25,25,30,1000000.00,0.000000,0.000000
25,30,10,1000000.00,0.000000,0.000000
25,30,15,1000000.00,0.000000,0.000000
25,30,20,1000000.00,0.000000,0.000000
25,30,25,1000000.00,0.000000,0.000000
25,30,30,1000000.00,0.000000,0.000000
25,35,10,1000000.00,0.000000,0.000000
25,35,15,1000000.00,0.000000,0.000000
25,35,20,1000000.00,0.000000,0.000000
25,35,25,1000000.00,0.000000,0.000000
25,35,30,1000000.00,0.000000,0.000000
25,40,10,1000000.00,0.000000,0.000000
25,40,15,1000000.00,0.000000,0.000000
25,40,20,1000000.00,0.000000,0.000000
25,40,25,1000000.00,0.000000,0.000000
25,40,30,1000000.00,0.000000,0.000000
25,45,10,1000000.00,0.000000,0.000000
25,45,15,1000000.00,0.000000,0.000000
25,45,20,1000000.00,0.000000,0.000000
25,45,25,1000000.00,0.000000,0.000000
25,45,30,1000000.00,0.000000,0.000000
25,50,10,1000000.00,0.000000,0.000000
25,50,15,1000000.00,0.000000,0.000000
25,50,20,1000000.00,0.000000,0.000000
25,50,25,1000000.00,0.000000,0.000000
25,50,30,1000000.00,0.000000,0.000000
30,10,10,1000000.00,0.000000,0.000000
30,10,15,1000000.00,0.000000,0.000000
30,10,20,2304563.35,0.581117,0.695663
30,10,25,1000000.00,0.000000,0.000000
30,10,30,1000000.00,0.000000,0.000000
30,15,10,1000000.00,0.000000,0.000000
30,15,15,1000000.00,0.000000,0.000000
30,15,20,1000000.00,0.000000,0.000000
30,15,25,1000000.00,0.000000,0.000000
30,15,30,1000000.00,0.000000,0.000000
30,20,10,1000000.00,0.000000,0.000000
30,20,15,1000000.00,0.000000,0.000000
30,20,20,1000000.00,0.000000,0.000000
30,20,25,1000000.00,0.000000,0.000000
30,20,30,1000000.00,0.000000,0.000000
30,25,10,1000000.00,0.000000,0.000000
30,25,15,1000000.00,0.000000,0.000000
30,25,20,1000000.00,0.000000,0.000000
30,25,25,1000000.00,0.000000,0.000000
30,25,30,1000000.00,0.000000,0.000000
30,30,10,1000000.00,0.000000,0.000000
30,30,15,1000000.00,0.000000,0.000000
30,30,20,1000000.00,0.000000,0.000000
30,30,25,1000000.00,0.000000,0.000000
30,30,30,1000000.00,0.000000,0.000000
30,35,10,1000000.00,0.000000,0.000000
30,35,15,1000000.00,0.000000,0.000000
30,35,20,1000000.00,0.000000,0.000000
30,35,25,1000000.00,0.000000,0.000000
30,35,30,1000000.00,0.000000,0.000000
30,40,10,1000000.00,0.000000,0.000000
30,40,15,1000000.00,0.000000,0.000000
30,40,20,1000000.00,0.000000,0.000000
30,40,25,1000000.00,0.000000,0.000000
30,40,30,1000000.00,0.000000,0.000000
30,45,10,1000000.00,0.000000,0.000000
30,45,15,1000000.00,0.000000,0.000000
30,45,20,1000000.00,0.000000,0.000000
30,45,25,1000000.00,0.000000,0.000000
30,45,30,1000000.00,0.000000,0.000000
30,50,10,1000000.00,0.000000,0.000000
30,50,15,1000000.00,0.000000,0.000000
30,50,20,1000000.00,0.000000,0.000000
30,50,25,1000000.00,0.000000,0.000000
30,50,30,1000000.00,0.000000,0.000000
